row,col,level,conductance,conductance_uS
0,0,7,0.241379,24.90
0,1,5,0.172414,18.07
0,2,11,0.379310,38.55
0,3,21,0.724138,72.69
0,4,3,0.103448,11.24
0,5,19,0.655172,65.86
0,6,11,0.379310,38.55
0,7,27,0.931034,93.17
0,8,25,0.862069,86.34
0,9,4,0.137931,14.66
0,10,11,0.379310,38.55
0,11,14,0.482759,48.79
0,12,3,0.103448,11.24
0,13,16,0.551724,55.62
0,14,5,0.172414,18.07
0,15,15,0.517241,52.21
0,16,27,0.931034,93.17
0,17,23,0.793103,79.52
0,18,29,1.000000,100.00
0,19,19,0.655172,65.86
0,20,29,1.000000,100.00
0,21,2,0.068966,7.83
0,22,19,0.655172,65.86
0,23,7,0.241379,24.90
0,24,26,0.896552,89.76
0,25,16,0.551724,55.62
0,26,29,1.000000,100.00
0,27,4,0.137931,14.66
0,28,3,0.103448,11.24
0,29,13,0.448276,45.38
0,30,1,0.034483,4.41
0,31,12,0.413793,41.97
0,32,5,0.172414,18.07
0,33,23,0.793103,79.52
0,34,17,0.586207,59.03
0,35,4,0.137931,14.66
0,36,8,0.275862,28.31
0,37,26,0.896552,89.76
0,38,29,1.000000,100.00
0,39,17,0.586207,59.03
0,40,17,0.586207,59.03
0,41,26,0.896552,89.76
0,42,25,0.862069,86.34
0,43,14,0.482759,48.79
0,44,26,0.896552,89.76
0,45,15,0.517241,52.21
0,46,15,0.517241,52.21
0,47,9,0.310345,31.72
0,48,14,0.482759,48.79
0,49,15,0.517241,52.21
0,50,11,0.379310,38.55
0,51,20,0.689655,69.28
0,52,23,0.793103,79.52
0,53,19,0.655172,65.86
0,54,28,0.965517,96.59
0,55,12,0.413793,41.97
0,56,28,0.965517,96.59
0,57,3,0.103448,11.24
0,58,27,0.931034,93.17
0,59,3,0.103448,11.24
0,60,27,0.931034,93.17
0,61,4,0.137931,14.66
0,62,12,0.413793,41.97
0,63,5,0.172414,18.07
1,0,18,0.620690,62.45
1,1,1,0.034483,4.41
1,2,18,0.620690,62.45
1,3,2,0.068966,7.83
1,4,13,0.448276,45.38
1,5,27,0.931034,93.17
1,6,18,0.620690,62.45
1,7,27,0.931034,93.17
1,8,4,0.137931,14.66
1,9,20,0.689655,69.28
1,10,3,0.103448,11.24
1,11,22,0.758621,76.10
1,12,23,0.793103,79.52
1,13,21,0.724138,72.69
1,14,17,0.586207,59.03
1,15,19,0.655172,65.86
1,16,16,0.551724,55.62
1,17,8,0.275862,28.31
1,18,24,0.827586,82.93
1,19,6,0.206897,21.48
1,20,28,0.965517,96.59
1,21,2,0.068966,7.83
1,22,13,0.448276,45.38
1,23,11,0.379310,38.55
1,24,22,0.758621,76.10
1,25,29,1.000000,100.00
1,26,7,0.241379,24.90
1,27,5,0.172414,18.07
1,28,7,0.241379,24.90
1,29,26,0.896552,89.76
1,30,16,0.551724,55.62
1,31,6,0.206897,21.48
1,32,19,0.655172,65.86
1,33,4,0.137931,14.66
1,34,18,0.620690,62.45
1,35,26,0.896552,89.76
1,36,23,0.793103,79.52
1,37,13,0.448276,45.38
1,38,28,0.965517,96.59
1,39,5,0.172414,18.07
1,40,24,0.827586,82.93
1,41,13,0.448276,45.38
1,42,25,0.862069,86.34
1,43,1,0.034483,4.41
1,44,24,0.827586,82.93
1,45,20,0.689655,69.28
1,46,23,0.793103,79.52
1,47,22,0.758621,76.10
1,48,3,0.103448,11.24
1,49,13,0.448276,45.38
1,50,29,1.000000,100.00
1,51,21,0.724138,72.69
1,52,20,0.689655,69.28
1,53,2,0.068966,7.83
1,54,17,0.586207,59.03
1,55,6,0.206897,21.48
1,56,7,0.241379,24.90
1,57,10,0.344828,35.14
1,58,14,0.482759,48.79
1,59,21,0.724138,72.69
1,60,20,0.689655,69.28
1,61,19,0.655172,65.86
1,62,5,0.172414,18.07
1,63,15,0.517241,52.21
2,0,4,0.137931,14.66
2,1,18,0.620690,62.45
2,2,17,0.586207,59.03
2,3,29,1.000000,100.00
2,4,10,0.344828,35.14
2,5,9,0.310345,31.72
2,6,0,0.000000,1.00
2,7,20,0.689655,69.28
2,8,14,0.482759,48.79
2,9,12,0.413793,41.97
2,10,1,0.034483,4.41
2,11,17,0.586207,59.03
2,12,13,0.448276,45.38
2,13,20,0.689655,69.28
2,14,4,0.137931,14.66
2,15,16,0.551724,55.62
2,16,3,0.103448,11.24
2,17,19,0.655172,65.86
2,18,10,0.344828,35.14
2,19,27,0.931034,93.17
2,20,27,0.931034,93.17
2,21,14,0.482759,48.79
2,22,11,0.379310,38.55
2,23,10,0.344828,35.14
2,24,28,0.965517,96.59
2,25,27,0.931034,93.17
2,26,15,0.517241,52.21
2,27,3,0.103448,11.24
2,28,20,0.689655,69.28
2,29,26,0.896552,89.76
2,30,9,0.310345,31.72
2,31,18,0.620690,62.45
2,32,20,0.689655,69.28
2,33,13,0.448276,45.38
2,34,10,0.344828,35.14
2,35,6,0.206897,21.48
2,36,20,0.689655,69.28
2,37,6,0.206897,21.48
2,38,26,0.896552,89.76
2,39,15,0.517241,52.21
2,40,28,0.965517,96.59
2,41,0,0.000000,1.00
2,42,11,0.379310,38.55
2,43,21,0.724138,72.69
2,44,9,0.310345,31.72
2,45,4,0.137931,14.66
2,46,8,0.275862,28.31
2,47,26,0.896552,89.76
2,48,19,0.655172,65.86
2,49,29,1.000000,100.00
2,50,29,1.000000,100.00
2,51,0,0.000000,1.00
2,52,13,0.448276,45.38
2,53,18,0.620690,62.45
2,54,6,0.206897,21.48
2,55,23,0.793103,79.52
2,56,13,0.448276,45.38
2,57,0,0.000000,1.00
2,58,15,0.517241,52.21
2,59,3,0.103448,11.24
2,60,15,0.517241,52.21
2,61,21,0.724138,72.69
2,62,10,0.344828,35.14
2,63,24,0.827586,82.93
3,0,25,0.862069,86.34
3,1,0,0.000000,1.00
3,2,4,0.137931,14.66
3,3,24,0.827586,82.93
3,4,1,0.034483,4.41
3,5,3,0.103448,11.24
3,6,7,0.241379,24.90
3,7,27,0.931034,93.17
3,8,17,0.586207,59.03
3,9,25,0.862069,86.34
3,10,6,0.206897,21.48
3,11,16,0.551724,55.62
3,12,17,0.586207,59.03
3,13,10,0.344828,35.14
3,14,3,0.103448,11.24
3,15,9,0.310345,31.72
3,16,0,0.000000,1.00
3,17,24,0.827586,82.93
3,18,25,0.862069,86.34
3,19,14,0.482759,48.79
3,20,1,0.034483,4.41
3,21,11,0.379310,38.55
3,22,25,0.862069,86.34
3,23,2,0.068966,7.83
3,24,29,1.000000,100.00
3,25,15,0.517241,52.21
3,26,8,0.275862,28.31
3,27,3,0.103448,11.24
3,28,22,0.758621,76.10
3,29,4,0.137931,14.66
3,30,15,0.517241,52.21
3,31,1,0.034483,4.41
3,32,21,0.724138,72.69
3,33,7,0.241379,24.90
3,34,16,0.551724,55.62
3,35,22,0.758621,76.10
3,36,1,0.034483,4.41
3,37,5,0.172414,18.07
3,38,11,0.379310,38.55
3,39,14,0.482759,48.79
3,40,21,0.724138,72.69
3,41,11,0.379310,38.55
3,42,16,0.551724,55.62
3,43,7,0.241379,24.90
3,44,15,0.517241,52.21
3,45,28,0.965517,96.59
3,46,13,0.448276,45.38
3,47,27,0.931034,93.17
3,48,1,0.034483,4.41
3,49,29,1.000000,100.00
3,50,18,0.620690,62.45
3,51,8,0.275862,28.31
3,52,6,0.206897,21.48
3,53,18,0.620690,62.45
3,54,1,0.034483,4.41
3,55,25,0.862069,86.34
3,56,19,0.655172,65.86
3,57,4,0.137931,14.66
3,58,2,0.068966,7.83
3,59,0,0.000000,1.00
3,60,26,0.896552,89.76
3,61,2,0.068966,7.83
3,62,8,0.275862,28.31
3,63,22,0.758621,76.10
4,0,0,0.000000,1.00
4,1,24,0.827586,82.93
4,2,17,0.586207,59.03
4,3,19,0.655172,65.86
4,4,11,0.379310,38.55
4,5,4,0.137931,14.66
4,6,7,0.241379,24.90
4,7,19,0.655172,65.86
4,8,26,0.896552,89.76
4,9,21,0.724138,72.69
4,10,26,0.896552,89.76
4,11,6,0.206897,21.48
4,12,0,0.000000,1.00
4,13,18,0.620690,62.45
4,14,0,0.000000,1.00
4,15,11,0.379310,38.55
4,16,28,0.965517,96.59
4,17,29,1.000000,100.00
4,18,24,0.827586,82.93
4,19,19,0.655172,65.86
4,20,0,0.000000,1.00
4,21,28,0.965517,96.59
4,22,3,0.103448,11.24
4,23,29,1.000000,100.00
4,24,19,0.655172,65.86
4,25,24,0.827586,82.93
4,26,7,0.241379,24.90
4,27,12,0.413793,41.97
4,28,13,0.448276,45.38
4,29,6,0.206897,21.48
4,30,15,0.517241,52.21
4,31,6,0.206897,21.48
4,32,0,0.000000,1.00
4,33,16,0.551724,55.62
4,34,17,0.586207,59.03
4,35,14,0.482759,48.79
4,36,7,0.241379,24.90
4,37,14,0.482759,48.79
4,38,24,0.827586,82.93
4,39,7,0.241379,24.90
4,40,2,0.068966,7.83
4,41,9,0.310345,31.72
4,42,10,0.344828,35.14
4,43,11,0.379310,38.55
4,44,28,0.965517,96.59
4,45,26,0.896552,89.76
4,46,24,0.827586,82.93
4,47,15,0.517241,52.21
4,48,12,0.413793,41.97
4,49,29,1.000000,100.00
4,50,28,0.965517,96.59
4,51,25,0.862069,86.34
4,52,1,0.034483,4.41
4,53,11,0.379310,38.55
4,54,22,0.758621,76.10
4,55,4,0.137931,14.66
4,56,11,0.379310,38.55
4,57,9,0.310345,31.72
4,58,21,0.724138,72.69
4,59,23,0.793103,79.52
4,60,11,0.379310,38.55
4,61,10,0.344828,35.14
4,62,5,0.172414,18.07
4,63,22,0.758621,76.10
5,0,2,0.068966,7.83
5,1,10,0.344828,35.14
5,2,7,0.241379,24.90
5,3,29,1.000000,100.00
5,4,15,0.517241,52.21
5,5,11,0.379310,38.55
5,6,3,0.103448,11.24
5,7,8,0.275862,28.31
5,8,23,0.793103,79.52
5,9,18,0.620690,62.45
5,10,14,0.482759,48.79
5,11,2,0.068966,7.83
5,12,15,0.517241,52.21
5,13,21,0.724138,72.69
5,14,28,0.965517,96.59
5,15,13,0.448276,45.38
5,16,15,0.517241,52.21
5,17,14,0.482759,48.79
5,18,9,0.310345,31.72
5,19,27,0.931034,93.17
5,20,0,0.000000,1.00
5,21,6,0.206897,21.48
5,22,25,0.862069,86.34
5,23,13,0.448276,45.38
5,24,5,0.172414,18.07
5,25,1,0.034483,4.41
5,26,2,0.068966,7.83
5,27,19,0.655172,65.86
5,28,18,0.620690,62.45
5,29,9,0.310345,31.72
5,30,3,0.103448,11.24
5,31,4,0.137931,14.66
5,32,9,0.310345,31.72
5,33,3,0.103448,11.24
5,34,22,0.758621,76.10
5,35,11,0.379310,38.55
5,36,19,0.655172,65.86
5,37,2,0.068966,7.83
5,38,25,0.862069,86.34
5,39,19,0.655172,65.86
5,40,4,0.137931,14.66
5,41,12,0.413793,41.97
5,42,25,0.862069,86.34
5,43,6,0.206897,21.48
5,44,20,0.689655,69.28
5,45,0,0.000000,1.00
5,46,12,0.413793,41.97
5,47,11,0.379310,38.55
5,48,20,0.689655,69.28
5,49,24,0.827586,82.93
5,50,17,0.586207,59.03
5,51,0,0.000000,1.00
5,52,15,0.517241,52.21
5,53,19,0.655172,65.86
5,54,8,0.275862,28.31
5,55,24,0.827586,82.93
5,56,12,0.413793,41.97
5,57,21,0.724138,72.69
5,58,8,0.275862,28.31
5,59,21,0.724138,72.69
5,60,7,0.241379,24.90
5,61,0,0.000000,1.00
5,62,25,0.862069,86.34
5,63,2,0.068966,7.83
6,0,14,0.482759,48.79
6,1,21,0.724138,72.69
6,2,15,0.517241,52.21
6,3,6,0.206897,21.48
6,4,12,0.413793,41.97
6,5,28,0.965517,96.59
6,6,7,0.241379,24.90
6,7,23,0.793103,79.52
6,8,3,0.103448,11.24
6,9,18,0.620690,62.45
6,10,6,0.206897,21.48
6,11,14,0.482759,48.79
6,12,19,0.655172,65.86
6,13,8,0.275862,28.31
6,14,20,0.689655,69.28
6,15,9,0.310345,31.72
6,16,13,0.448276,45.38
6,17,25,0.862069,86.34
6,18,22,0.758621,76.10
6,19,12,0.413793,41.97
6,20,14,0.482759,48.79
6,21,9,0.310345,31.72
6,22,18,0.620690,62.45
6,23,17,0.586207,59.03
6,24,6,0.206897,21.48
6,25,26,0.896552,89.76
6,26,8,0.275862,28.31
6,27,8,0.275862,28.31
6,28,29,1.000000,100.00
6,29,17,0.586207,59.03
6,30,13,0.448276,45.38
6,31,16,0.551724,55.62
6,32,13,0.448276,45.38
6,33,29,1.000000,100.00
6,34,10,0.344828,35.14
6,35,18,0.620690,62.45
6,36,21,0.724138,72.69
6,37,19,0.655172,65.86
6,38,10,0.344828,35.14
6,39,17,0.586207,59.03
6,40,16,0.551724,55.62
6,41,24,0.827586,82.93
6,42,6,0.206897,21.48
6,43,0,0.000000,1.00
6,44,1,0.034483,4.41
6,45,24,0.827586,82.93
6,46,19,0.655172,65.86
6,47,0,0.000000,1.00
6,48,7,0.241379,24.90
6,49,14,0.482759,48.79
6,50,3,0.103448,11.24
6,51,23,0.793103,79.52
6,52,10,0.344828,35.14
6,53,26,0.896552,89.76
6,54,6,0.206897,21.48
6,55,19,0.655172,65.86
6,56,14,0.482759,48.79
6,57,29,1.000000,100.00
6,58,4,0.137931,14.66
6,59,28,0.965517,96.59
6,60,14,0.482759,48.79
6,61,28,0.965517,96.59
6,62,2,0.068966,7.83
6,63,6,0.206897,21.48
7,0,8,0.275862,28.31
7,1,22,0.758621,76.10
7,2,27,0.931034,93.17
7,3,18,0.620690,62.45
7,4,3,0.103448,11.24
7,5,26,0.896552,89.76
7,6,25,0.862069,86.34
7,7,4,0.137931,14.66
7,8,2,0.068966,7.83
7,9,1,0.034483,4.41
7,10,6,0.206897,21.48
7,11,22,0.758621,76.10
7,12,9,0.310345,31.72
7,13,11,0.379310,38.55
7,14,0,0.000000,1.00
7,15,18,0.620690,62.45
7,16,27,0.931034,93.17
7,17,9,0.310345,31.72
7,18,3,0.103448,11.24
7,19,11,0.379310,38.55
7,20,29,1.000000,100.00
7,21,25,0.862069,86.34
7,22,19,0.655172,65.86
7,23,24,0.827586,82.93
7,24,20,0.689655,69.28
7,25,17,0.586207,59.03
7,26,19,0.655172,65.86
7,27,2,0.068966,7.83
7,28,9,0.310345,31.72
7,29,15,0.517241,52.21
7,30,2,0.068966,7.83
7,31,10,0.344828,35.14
7,32,22,0.758621,76.10
7,33,5,0.172414,18.07
7,34,22,0.758621,76.10
7,35,12,0.413793,41.97
7,36,4,0.137931,14.66
7,37,7,0.241379,24.90
7,38,12,0.413793,41.97
7,39,20,0.689655,69.28
7,40,6,0.206897,21.48
7,41,21,0.724138,72.69
7,42,26,0.896552,89.76
7,43,3,0.103448,11.24
7,44,10,0.344828,35.14
7,45,21,0.724138,72.69
7,46,0,0.000000,1.00
7,47,29,1.000000,100.00
7,48,23,0.793103,79.52
7,49,1,0.034483,4.41
7,50,26,0.896552,89.76
7,51,19,0.655172,65.86
7,52,25,0.862069,86.34
7,53,19,0.655172,65.86
7,54,25,0.862069,86.34
7,55,29,1.000000,100.00
7,56,2,0.068966,7.83
7,57,1,0.034483,4.41
7,58,3,0.103448,11.24
7,59,17,0.586207,59.03
7,60,8,0.275862,28.31
7,61,16,0.551724,55.62
7,62,26,0.896552,89.76
7,63,8,0.275862,28.31
8,0,17,0.586207,59.03
8,1,27,0.931034,93.17
8,2,8,0.275862,28.31
8,3,0,0.000000,1.00
8,4,5,0.172414,18.07
8,5,7,0.241379,24.90
8,6,10,0.344828,35.14
8,7,26,0.896552,89.76
8,8,29,1.000000,100.00
8,9,16,0.551724,55.62
8,10,22,0.758621,76.10
8,11,21,0.724138,72.69
8,12,28,0.965517,96.59
8,13,22,0.758621,76.10
8,14,9,0.310345,31.72
8,15,25,0.862069,86.34
8,16,6,0.206897,21.48
8,17,10,0.344828,35.14
8,18,23,0.793103,79.52
8,19,14,0.482759,48.79
8,20,4,0.137931,14.66
8,21,9,0.310345,31.72
8,22,3,0.103448,11.24
8,23,28,0.965517,96.59
8,24,8,0.275862,28.31
8,25,18,0.620690,62.45
8,26,18,0.620690,62.45
8,27,22,0.758621,76.10
8,28,16,0.551724,55.62
8,29,12,0.413793,41.97
8,30,22,0.758621,76.10
8,31,23,0.793103,79.52
8,32,20,0.689655,69.28
8,33,14,0.482759,48.79
8,34,21,0.724138,72.69
8,35,23,0.793103,79.52
8,36,2,0.068966,7.83
8,37,3,0.103448,11.24
8,38,5,0.172414,18.07
8,39,29,1.000000,100.00
8,40,10,0.344828,35.14
8,41,5,0.172414,18.07
8,42,25,0.862069,86.34
8,43,8,0.275862,28.31
8,44,7,0.241379,24.90
8,45,18,0.620690,62.45
8,46,16,0.551724,55.62
8,47,26,0.896552,89.76
8,48,17,0.586207,59.03
8,49,26,0.896552,89.76
8,50,29,1.000000,100.00
8,51,16,0.551724,55.62
8,52,14,0.482759,48.79
8,53,17,0.586207,59.03
8,54,26,0.896552,89.76
8,55,1,0.034483,4.41
8,56,3,0.103448,11.24
8,57,10,0.344828,35.14
8,58,6,0.206897,21.48
8,59,25,0.862069,86.34
8,60,9,0.310345,31.72
8,61,13,0.448276,45.38
8,62,6,0.206897,21.48
8,63,22,0.758621,76.10
9,0,3,0.103448,11.24
9,1,13,0.448276,45.38
9,2,21,0.724138,72.69
9,3,25,0.862069,86.34
9,4,7,0.241379,24.90
9,5,13,0.448276,45.38
9,6,26,0.896552,89.76
9,7,23,0.793103,79.52
9,8,23,0.793103,79.52
9,9,10,0.344828,35.14
9,10,29,1.000000,100.00
9,11,13,0.448276,45.38
9,12,29,1.000000,100.00
9,13,19,0.655172,65.86
9,14,27,0.931034,93.17
9,15,18,0.620690,62.45
9,16,7,0.241379,24.90
9,17,21,0.724138,72.69
9,18,23,0.793103,79.52
9,19,22,0.758621,76.10
9,20,8,0.275862,28.31
9,21,21,0.724138,72.69
9,22,8,0.275862,28.31
9,23,1,0.034483,4.41
9,24,14,0.482759,48.79
9,25,21,0.724138,72.69
9,26,27,0.931034,93.17
9,27,9,0.310345,31.72
9,28,22,0.758621,76.10
9,29,17,0.586207,59.03
9,30,12,0.413793,41.97
9,31,19,0.655172,65.86
9,32,26,0.896552,89.76
9,33,17,0.586207,59.03
9,34,10,0.344828,35.14
9,35,10,0.344828,35.14
9,36,24,0.827586,82.93
9,37,19,0.655172,65.86
9,38,5,0.172414,18.07
9,39,25,0.862069,86.34
9,40,16,0.551724,55.62
9,41,9,0.310345,31.72
9,42,2,0.068966,7.83
9,43,11,0.379310,38.55
9,44,26,0.896552,89.76
9,45,13,0.448276,45.38
9,46,20,0.689655,69.28
9,47,4,0.137931,14.66
9,48,13,0.448276,45.38
9,49,15,0.517241,52.21
9,50,22,0.758621,76.10
9,51,1,0.034483,4.41
9,52,19,0.655172,65.86
9,53,1,0.034483,4.41
9,54,17,0.586207,59.03
9,55,14,0.482759,48.79
9,56,6,0.206897,21.48
9,57,25,0.862069,86.34
9,58,3,0.103448,11.24
9,59,26,0.896552,89.76
9,60,8,0.275862,28.31
9,61,23,0.793103,79.52
9,62,15,0.517241,52.21
9,63,27,0.931034,93.17
10,0,26,0.896552,89.76
10,1,9,0.310345,31.72
10,2,3,0.103448,11.24
10,3,5,0.172414,18.07
10,4,29,1.000000,100.00
10,5,15,0.517241,52.21
10,6,5,0.172414,18.07
10,7,16,0.551724,55.62
10,8,18,0.620690,62.45
10,9,25,0.862069,86.34
10,10,6,0.206897,21.48
10,11,20,0.689655,69.28
10,12,4,0.137931,14.66
10,13,22,0.758621,76.10
10,14,16,0.551724,55.62
10,15,22,0.758621,76.10
10,16,9,0.310345,31.72
10,17,19,0.655172,65.86
10,18,25,0.862069,86.34
10,19,15,0.517241,52.21
10,20,15,0.517241,52.21
10,21,25,0.862069,86.34
10,22,29,1.000000,100.00
10,23,19,0.655172,65.86
10,24,24,0.827586,82.93
10,25,26,0.896552,89.76
10,26,4,0.137931,14.66
10,27,17,0.586207,59.03
10,28,0,0.000000,1.00
10,29,24,0.827586,82.93
10,30,26,0.896552,89.76
10,31,8,0.275862,28.31
10,32,16,0.551724,55.62
10,33,15,0.517241,52.21
10,34,15,0.517241,52.21
10,35,28,0.965517,96.59
10,36,23,0.793103,79.52
10,37,16,0.551724,55.62
10,38,5,0.172414,18.07
10,39,20,0.689655,69.28
10,40,24,0.827586,82.93
10,41,6,0.206897,21.48
10,42,8,0.275862,28.31
10,43,5,0.172414,18.07
10,44,14,0.482759,48.79
10,45,15,0.517241,52.21
10,46,3,0.103448,11.24
10,47,12,0.413793,41.97
