path,title,source_url,evidence_url,rights_basis,obligations,decision,notes
docs/4-research/papers/by-topic/01-ferroelectric-materials/Siannas_2022_Metastable_ferroelectricity.pdf,Siannas_2022_Metastable_ferroelectricity,https://doi.org/10.1038/s42005-022-00951-x,https://www.nature.com/articles/s42005-022-00951-x,Nature article page shows explicit CC BY 4.0,attribution; license link; indicate changes,keep,Verified CC BY 4.0 on article page.
docs/4-research/papers/by-topic/01-ferroelectric-materials/TDGL_Ferroelectric_Domains_arXiv.pdf,TDGL_Ferroelectric_Domains_arXiv,https://arxiv.org/pdf/2210.15668.pdf,https://arxiv.org/abs/2210.15668,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/adaptive_control_epitaxial_hfo2_zro2_2025.pdf,Adaptive Control Epitaxial HfO2/ZrO2,https://doi.org/10.1038/s41467-025-61758-2,https://www.nature.com/articles/s41467-025-61758-2,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License shown on Nature article page,"attribution, noncommercial only, no derivatives, retain license notice/link",keep-with-conditions,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/atomistic_landau_ferroelectric_md_2022.pdf,Atomistic Landau Model Ferroelectric MD Simulation,https://arxiv.org/pdf/2206.12243.pdf,https://arxiv.org/abs/2206.12243,CC BY-SA 4.0 shown on arXiv item page,"attribution, share alike, license link, indicate changes",keep-with-conditions,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/dual_bit_fefet_enhanced_storage_2025.pdf,Dual-Bit FeFET Enhanced Storage,https://doi.org/10.1038/s44335-025-00030-8,https://www.nature.com/articles/s44335-025-00030-8,Creative Commons Attribution 4.0 International License shown on Nature article page,"attribution, retain license notice/link, indicate changes",keep-with-conditions,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/first_principles_HfO2_ferroelectric_2024.pdf,First-principles predictions of HfO2-based ferroelectric,https://arxiv.org/pdf/2401.05288.pdf,https://arxiv.org/abs/2401.05288,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/first_principles_hfo2_superlattice_2024.pdf,First-Principles HfO2 Superlattice Design,https://arxiv.org/pdf/2401.05288.pdf,https://arxiv.org/abs/2401.05288,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/hfo2_computational_understanding_2024.pdf,hfo2_computational_understanding_2024,https://doi.org/10.1038/s41524-024-01352-0,https://www.nature.com/articles/s41524-024-01352-0,Nature article page shows explicit CC BY 4.0,attribution; license link; indicate changes,keep,Verified CC BY 4.0 on article page.
docs/4-research/papers/by-topic/01-ferroelectric-materials/hfzro_ftj_polarization_2024.pdf,HfZrO FTJ Polarization Uniformity,https://arxiv.org/pdf/2412.11288.pdf,https://arxiv.org/abs/2412.11288,CC BY-NC-ND 4.0 shown on arXiv item page,"attribution, noncommercial only, no derivatives, license link",keep-with-conditions,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/hzo_superlattice_firstprinciples_2024.pdf,hzo_superlattice_firstprinciples_2024,https://doi.org/10.1038/s41524-024-01344-0,https://www.nature.com/articles/s41524-024-01344-0,Nature article page shows explicit CC BY 4.0,attribution; license link; indicate changes,keep,Verified CC BY 4.0 on article page.
