category,doi,year,venue,title,evidence_level,support_from_abstract_or_metadata
FeFET/FeTFT CIM,10.1145/3218603.3218640,2018,Proceedings of the International Symposium on Low Power Electronics and Design,Computing in memory with FeFETs,conference,"Data transfer between a processor and memory frequently represents a bottleneck with respect to improving application-level performance. Computing in memory (CiM), where logic and arithmetic operations are performed in memory, could significantly reduce both energy consumption and computational overheads associated with data transfer. Compact, low-power, and fast CiM designs could ultimately lead to improved application-level performance. This pa"
FeFET/FeTFT CIM,10.1038/s41467-023-42110-y,2023,Nature Communications,First demonstration of in-memory computing crossbar using multi-level Cell FeFET,journal/proceedings metadata,Advancements in AI led to the emergence of in-memory-computing architectures as a promising solution for the associated computing and memory challenges. This study introduces a novel in-memory-computing (IMC) crossbar macro utilizing a multi-level ferroelectric field-effect transistor (FeFET) cell for multi-bit multiply and accumulate (MAC) operations. The proposed 1FeFET-1R cell design stores multi-bit information while minimizing device variabi
FeFET/FeTFT CIM,10.1109/iedm13553.2020.9372124,2020,,Ultra-Low Power Flexible Precision FeFET Based Analog In-Memory Computing,conference,"This paper presents an efficient crossbar design and implementation intended for analog compute-in-memory (ACiM) acceleration of artificial neural networks based on ferroelectric FET (FeFET) technology. The novel mixed signal blocks presented in this work reduce the device-to-device variation and are optimized for low area, low power and high throughput. In addition, we illustrate the operation and programmability of the crossbar that adopts bit "
FeFET/FeTFT CIM,10.23919/vlsicircuits52068.2021.9492479,2021,,Analog In-memory Computing in FeFET-based 1T1R Array for Edge AI Applications,conference,"Deep neural network (DNN) inference for edge AI requires low-power operation, which can be achieved by implementing massively parallel matrix-vector multiplications (MVM) in the analog domain on a highly resistive memory array. We propose a 1T1R compute cell (1T1R-cell) using a ferroelectric hafnium oxide-based FET (FeFET) and TiN/SiO <inf xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">2</inf> tunneling "
FeFET/FeTFT CIM,10.1109/iedm.2018.8614527,2018,,In-Memory Computing Primitive for Sensor Data Fusion in 28 nm HKMG FeFET Technology,conference,"In this work, we exploit the spatio-temporal switching dynamics of ferroelectric polarization to realize an energy-efficient, and massively-parallel in-memory computational primitive for at-node sensor data fusion and analytics based on an industrial 28nm HKMG FeFET technology [1]. We demonstrate: (i) the spatio-temporal dynamics of polarization switching in HfO <sub xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/19"
FeFET/FeTFT CIM,10.3389/felec.2022.833260,2022,Frontiers in Electronics,All-in-Memory Brain-Inspired Computing Using FeFET Synapses,journal/proceedings metadata,"The separation of computing units and memory in the computer architecture mandates energy-intensive data transfers creating the von Neumann bottleneck. This bottleneck is exposed at the application level by the steady growth of IoT and data-centric deep learning algorithms demanding extraordinary throughput. On the hardware level, analog Processing-in-Memory (PiM) schemes are used to build platforms that eliminate the compute-memory gap to overco"
FeFET/FeTFT CIM,10.1038/s41467-023-41991-3,2023,Nature Communications,Laterally gated ferroelectric field effect transistor (LG-FeFET) using α-In2Se3 for stacked in-memory computing array,journal/proceedings metadata,"Abstract In-memory computing is an attractive alternative for handling data-intensive tasks as it employs parallel processing without the need for data transfer. Nevertheless, it necessitates a high-density memory array to effectively manage large data volumes. Here, we present a stacked ferroelectric memory array comprised of laterally gated ferroelectric field-effect transistors (LG-FeFETs). The interlocking effect of the α-In 2 Se 3 is utilize"
FeFET/FeTFT CIM,10.1109/tcad.2024.3492994,2024,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,A Homogeneous FeFET-Based Time-Domain Compute-in-Memory Fabric for Matrix-Vector Multiplication and Associative Search,journal/proceedings metadata,Matrix-vector multiplication (MVM) and content-based search are two key operations in many machine learning workloads. This article proposes a ferroelectric FET (FeFET) time-domain compute-in-memory (TD-CiM) array that can accelerate both operations in a homogeneous fabric. We demonstrate that 1) the AND and xor/XNOR logic functions required by MVM and content-based search can be realized using a single compute-in-memory (CiM) cell composed of 2F
FeFET/FeTFT CIM,10.1145/3676536.3676715,2024,,REMNA: Variation-Resilient and Energy-Efficient MLC FeFET Computing-in-Memory Using NAND Flash-Like Read and Adaptive Control,conference,"Nonvolatile memory (NVM)-based computing-in-memory (CiM) has shown promising prospects in deep neural network (DNN) inference at the edge thanks to its nonvolatility and high density. Moreover, most NVMs support multi-level cell (MLC) storage, which can further boost energy efficiency and storage density. However, MLC NVM-based CiMs suffer from degraded accuracy due to device nonidealities, including large variations, nonlinear current distributi"
FeFET/FeTFT CIM,10.1109/ted.2023.3313112,2023,IEEE Transactions on Electron Devices,"FeFET Reliability Modeling for In-Memory Computing: Challenges, Perspective, and Emerging Trends",review,"Ferroelectric FET (FeFET) is a singularly attractive emerging technology with a rich feature set. Boasting high versatility, it has already been implemented in a host of applications, like dense memory arrays and in-memory computing (IMC). Nevertheless, being an emerging technology, FeFETs are faced with reliability concerns that warrant analysis and mitigation. As a first step, modeling the FeFET variability can help to ascertain its present app"
