row,col,weight,level,conductance_uS,resistance_ohm,program_V
0,0,0.100000,16,59.6552,16763.01,3.6552
0,1,-0.200000,11,44.1379,22656.25,3.1379
0,2,0.300000,19,68.9655,14500.00,3.9655
0,3,-0.400000,8,34.8276,28712.87,2.8276
0,4,0.500000,23,81.3793,12288.14,4.3793
0,5,-0.600000,5,25.5172,39189.19,2.5172
0,6,0.700000,26,90.6897,11026.62,4.6897
0,7,-0.800000,2,16.2069,61702.13,2.2069
1,0,-0.100000,13,50.3448,19863.01,3.3448
1,1,0.200000,18,65.8621,15183.25,3.8621
1,2,-0.300000,10,41.0345,24369.75,3.0345
1,3,0.400000,21,75.1724,13302.75,4.1724
1,4,-0.500000,6,28.6207,34939.76,2.6207
1,5,0.600000,24,84.4828,11836.73,4.4828
1,6,-0.700000,3,19.3103,51785.71,2.3103
1,7,0.800000,27,93.7931,10661.76,4.7931
2,0,0.150000,17,62.7586,15934.07,3.7586
2,1,-0.250000,10,41.0345,24369.75,3.0345
2,2,0.350000,20,72.0690,13875.60,4.0690
2,3,-0.450000,7,31.7241,31521.74,2.7241
2,4,0.550000,23,81.3793,12288.14,4.3793
2,5,-0.650000,4,22.4138,44615.38,2.4138
2,6,0.750000,27,93.7931,10661.76,4.7931
2,7,-0.850000,1,13.1034,76315.79,2.1034
3,0,-0.150000,12,47.2414,21167.88,3.2414
3,1,0.250000,19,68.9655,14500.00,3.9655
3,2,-0.350000,9,37.9310,26363.64,2.9310
3,3,0.450000,22,78.2759,12775.33,4.2759
3,4,-0.550000,6,28.6207,34939.76,2.6207
3,5,0.650000,25,87.5862,11417.32,4.5862
3,6,-0.750000,2,16.2069,61702.13,2.2069
3,7,0.850000,28,96.8966,10320.28,4.8966
4,0,0.050000,15,56.5517,17682.93,3.5517
4,1,-0.150000,12,47.2414,21167.88,3.2414
4,2,0.250000,19,68.9655,14500.00,3.9655
4,3,-0.350000,9,37.9310,26363.64,2.9310
4,4,0.450000,22,78.2759,12775.33,4.2759
4,5,-0.550000,6,28.6207,34939.76,2.6207
4,6,0.650000,25,87.5862,11417.32,4.5862
4,7,-0.750000,2,16.2069,61702.13,2.2069
5,0,-0.050000,14,53.4483,18709.68,3.4483
5,1,0.150000,17,62.7586,15934.07,3.7586
5,2,-0.250000,10,41.0345,24369.75,3.0345
5,3,0.350000,20,72.0690,13875.60,4.0690
5,4,-0.450000,7,31.7241,31521.74,2.7241
5,5,0.550000,23,81.3793,12288.14,4.3793
5,6,-0.650000,4,22.4138,44615.38,2.4138
5,7,0.750000,27,93.7931,10661.76,4.7931
6,0,0.200000,18,65.8621,15183.25,3.8621
6,1,-0.300000,10,41.0345,24369.75,3.0345
6,2,0.400000,21,75.1724,13302.75,4.1724
6,3,-0.500000,6,28.6207,34939.76,2.6207
6,4,0.600000,24,84.4828,11836.73,4.4828
6,5,-0.700000,3,19.3103,51785.71,2.3103
6,6,0.800000,27,93.7931,10661.76,4.7931
6,7,-0.900000,0,10.0000,100000.00,2.0000
7,0,-0.200000,11,44.1379,22656.25,3.1379
7,1,0.300000,19,68.9655,14500.00,3.9655
7,2,-0.400000,8,34.8276,28712.87,2.8276
7,3,0.500000,23,81.3793,12288.14,4.3793
7,4,-0.600000,5,25.5172,39189.19,2.5172
7,5,0.700000,26,90.6897,11026.62,4.6897
7,6,-0.800000,2,16.2069,61702.13,2.2069
7,7,0.900000,29,100.0000,10000.00,5.0000
